n_neighbors,weights,algorithm,avg r2 score,min r2 score,max r2 score,avg rmse score,min rmse score,max rmse score
1,uniform,ball_tree,0.6190834996835127,0.47801843381033615,0.8405060372793187,0.903411735858978,0.5983115913656422,1.0925515044097431
1,uniform,kd_tree,0.6190834996835127,0.47801843381033615,0.8405060372793187,0.903411735858978,0.5983115913656422,1.0925515044097431
1,uniform,brute,0.6188915288575456,0.47801843381033615,0.8404460018866728,0.9036316057116048,0.5983115913656422,1.0926869983917389
1,distance,ball_tree,0.6190834996835127,0.47801843381033615,0.8405060372793187,0.903411735858978,0.5983115913656422,1.0925515044097431
1,distance,kd_tree,0.6190834996835127,0.47801843381033615,0.8405060372793187,0.903411735858978,0.5983115913656422,1.0925515044097431
1,distance,brute,0.6188915288575456,0.47801843381033615,0.8404460018866728,0.9036316057116048,0.5983115913656422,1.0926869983917389
2,uniform,ball_tree,0.6186267272243239,0.4992751221972951,0.8386351270901027,0.9062552111834643,0.510726126886852,1.0806291332156148
2,uniform,kd_tree,0.6186267272243239,0.4992751221972951,0.8386351270901027,0.9062552111834643,0.510726126886852,1.0806291332156148
2,uniform,brute,0.6191732530431157,0.50030894358646,0.8386351270901027,0.9056391974809591,0.510726126886852,1.0802468429753327
2,distance,ball_tree,0.6795050386642916,0.5864394228076154,0.8358508486751728,0.8301246340170791,0.515113457451593,0.9936774098765516
2,distance,kd_tree,0.6795050386642916,0.5864394228076154,0.8358508486751728,0.8301246340170791,0.515113457451593,0.9936774098765516
2,distance,brute,0.6798657615671807,0.5871459846376623,0.8358508486751719,0.8296821115077215,0.5151134574515944,0.9933994691796473
3,uniform,ball_tree,0.5922125617859182,0.4989747141179067,0.752217726640096,0.9386660225378197,0.6328760950095915,1.1022354002396675
3,uniform,kd_tree,0.5922125617859182,0.4989747141179067,0.752217726640096,0.9386660225378197,0.6328760950095915,1.1022354002396675
3,uniform,brute,0.5922173424000836,0.4989603256790508,0.752217726640096,0.938661433029712,0.6328760950095915,1.1022431687113192
3,distance,ball_tree,0.6965358633771878,0.6122078630350236,0.8180512299398053,0.8087452635233994,0.5423231423386005,0.9613258560451299
3,distance,kd_tree,0.6965358633771878,0.6122078630350236,0.8180512299398053,0.8087452635233994,0.5423231423386005,0.9613258560451299
3,distance,brute,0.6965393905187173,0.6122078627452192,0.8180512299398038,0.8087409077455945,0.5423231423386027,0.9613258562664511
4,uniform,ball_tree,0.5613367401081063,0.4577514487514889,0.7262384269659681,0.9738152528757731,0.6652269251704821,1.147380454107104
4,uniform,kd_tree,0.5613367401081063,0.4577514487514889,0.7262384269659681,0.9738152528757731,0.6652269251704821,1.147380454107104
4,uniform,brute,0.5613501215808961,0.45789669983027514,0.7262384269659681,0.9737996087129466,0.6652269251704821,1.1472267705145385
4,distance,ball_tree,0.7042936665914246,0.6234075194309041,0.838218945719662,0.7982033038824748,0.5113843179179991,0.9463921065283201
4,distance,kd_tree,0.7042936665914246,0.6234075194309041,0.838218945719662,0.7982033038824748,0.5113843179179991,0.9463921065283201
4,distance,brute,0.7042988221184276,0.6234075190838807,0.8382189457196597,0.7981954642661411,0.5113843179180028,0.946319254659832
5,uniform,ball_tree,0.4934697749283488,0.37784826320749365,0.6269385976110542,1.0473657282784148,0.7999862788337009,1.1868756619802627
5,uniform,kd_tree,0.4935551604542527,0.3780534135867878,0.6269385976110542,1.0472830994628008,0.7999862788337009,1.1868071406825833
5,uniform,brute,0.49336337901962446,0.37758438369940883,0.6269385976110542,1.047470789338607,0.7999862788337009,1.1869670928226024
5,distance,ball_tree,0.6891970433781717,0.6104251523623992,0.8089734399437309,0.8187355840149169,0.5556872763220951,0.9566667468887606
5,distance,kd_tree,0.689217341708368,0.6104345220702645,0.8089734399437309,0.8187108165430447,0.5556872763220951,0.9566652201410064
5,distance,brute,0.6891362420012416,0.610409119565654,0.8089734399437268,0.8188130688601061,0.555687276322101,0.9566736425947308
6,uniform,ball_tree,0.4740285609747769,0.3603813267489524,0.6298217844493784,1.0671723494528196,0.8321786519190091,1.215570250433907
6,uniform,kd_tree,0.47402830682056984,0.3603813267392304,0.6298217844493784,1.0671726219955506,0.8321786519190091,1.215570250433907
6,uniform,brute,0.47407353349144216,0.3603850619700769,0.6298186994124964,1.0671195725635956,0.8321786519190091,1.2155651405081673
6,distance,ball_tree,0.684823603273263,0.5981320836915847,0.8062391291345803,0.8246433875658609,0.5596501365908556,0.9622206696755183
6,distance,kd_tree,0.684823603553246,0.5981320836915847,0.8062391291345803,0.8246433872126422,0.5596501365908556,0.9622206587257385
6,distance,brute,0.6848302791657866,0.5981314519359098,0.8062391291345755,0.8246338042164829,0.5596501365908624,0.9622163891622851
7,uniform,ball_tree,0.43093486460900493,0.32108307430540606,0.5906567708850596,1.1107465643360916,0.8941242918800444,1.2674892511549387
7,uniform,kd_tree,0.43088533414798036,0.32097491297786895,0.5907174146416567,1.110792166793042,0.8941242918800444,1.2674856052259151
7,uniform,brute,0.43093333995279987,0.32108307430540606,0.5906567708850596,1.1107489013791243,0.8941242918800444,1.2674892511549387
7,distance,ball_tree,0.6721107948320864,0.5941183116342517,0.79155764034391,0.8417087796368443,0.5804657046964309,0.9795656941632649
7,distance,kd_tree,0.6721020618196294,0.5941039555680413,0.79155764034391,0.8417195157069355,0.5804657046964309,0.9795646701180983
7,distance,brute,0.6721107741424737,0.5941183104685519,0.791557640343904,0.8417092137400478,0.5804657046964393,0.9795656949113383
8,uniform,ball_tree,0.3906188063669697,0.26875393918719626,0.5676752813039411,1.1493749945888843,0.94597088382473,1.3268168399537674
