n_neighbors,weights,algorithm,avg r2 score,min r2 score,max r2 score,avg rmse score,min rmse score,max rmse score
8,uniform,kd_tree,0.3906262453939715,0.2687697645856345,0.5677188409599494,1.1493679431592971,0.94597088382473,1.3268165985065346
8,uniform,brute,0.39062234115962896,0.2687697741149654,0.5676650713085676,1.1493726149117178,0.94597088382473,1.3268165985065346
8,distance,ball_tree,0.6586319800726367,0.578852211965355,0.7775518419908141,0.8586610648767743,0.5996501990356266,1.0020757473193123
8,distance,kd_tree,0.6586335258816202,0.578852211965355,0.7775518419908141,0.8586586883615795,0.5996501990356266,1.0020757473193123
8,distance,brute,0.6586311578047386,0.5788522105737237,0.7775518419908066,0.8586625669741884,0.5996501990356368,1.002075748165296
9,uniform,ball_tree,0.347700973998877,0.2168551369126872,0.5374672716278608,1.1893198313834583,0.9808938959497245,1.3842553182720065
9,uniform,kd_tree,0.34769125629743963,0.21685548376436237,0.5373694217455294,1.1893300317258575,0.9808938959497245,1.3842553182720065
9,uniform,brute,0.3476993640050645,0.2168551369126872,0.5374310820481417,1.1893215869346507,0.9808938959497245,1.3842553182720065
9,distance,ball_tree,0.643346912359843,0.5594503991295342,0.7640391679842324,0.8777638180324476,0.6175946634167415,1.021744891083653
9,distance,kd_tree,0.6433433200561826,0.5594504631253951,0.7640391679842324,0.8777689907106142,0.6175946634167415,1.021744891083653
9,distance,brute,0.6433454680925524,0.5594503979083874,0.7640391679842236,0.8777659770466111,0.6175946634167532,1.0217448920170529
10,uniform,ball_tree,0.3255506933089247,0.18343370779533663,0.5317138269066302,1.208644227896378,0.9804657966904723,1.4208998206596557
10,uniform,kd_tree,0.3255506928547526,0.18343370779533663,0.5317138269066302,1.2086442283549341,0.9804657966904723,1.4208998206596557
10,uniform,brute,0.32555906692464676,0.1834333633816697,0.5317678261747322,1.2086355295028253,0.9804657966904723,1.4208998206596557
10,distance,ball_tree,0.6326304704745169,0.54237945271674,0.7566328335752684,0.8906521712804366,0.6326008189947209,1.0394217839623277
10,distance,kd_tree,0.6326304702833204,0.54237945271674,0.7566328335752684,0.8906521715176478,0.6326008189947209,1.0394217839623279
10,distance,brute,0.6326340869786881,0.5423794510381599,0.756658578701008,0.890647099101738,0.632600818994734,1.0394217849195522
