n_neighbors,weights,algorithm,solver name,r2 score,rmse score
1,uniform,ball_tree,ebglucose,0.5585059440111588,0.8318613186043629
1,uniform,ball_tree,ebminisat,0.5448813132965362,1.0925515044097431
1,uniform,ball_tree,glucose2,0.6254044631852224,0.7840348354943059
1,uniform,ball_tree,glueminisat,0.6310033154329785,0.9753320606414935
1,uniform,ball_tree,lingeling,0.5265232989019994,0.974654862833393
1,uniform,ball_tree,lrglshr,0.5780636750232382,1.0373463479922844
1,uniform,ball_tree,minisatpsm,0.5734410473682641,0.8823901128657701
1,uniform,ball_tree,mphaseSAT64,0.6121939872815372,0.9703211913471655
1,uniform,ball_tree,precosat,0.5933615738485949,0.996584649610683
1,uniform,ball_tree,qutersat,0.5825593333950643,0.8748443734943119
1,uniform,ball_tree,rcl,0.6328014695764272,0.8088458655314005
1,uniform,ball_tree,restartsat,0.6076518100445221,1.010821431840061
1,uniform,ball_tree,cryptominisat2011,0.6088630543545472,0.9544576335147716
1,uniform,ball_tree,spear-sw,0.635927548809663,0.9294361280051461
1,uniform,ball_tree,spear-hw,0.6965775323255935,0.8215757271468906
1,uniform,ball_tree,eagleup,0.7785438818565731,0.5983115913656422
1,uniform,ball_tree,sparrow,0.6740957489651447,0.8660920507625809
1,uniform,ball_tree,marchrw,0.8405060372793187,0.6023965843677873
1,uniform,ball_tree,mphaseSATm,0.7748075710148765,0.7579754727362643
1,uniform,ball_tree,satime11,0.47801843381033615,1.0346923264270242
1,uniform,ball_tree,tnm,0.5322822693431521,0.9503708441522903
1,uniform,ball_tree,mxc09,0.5533153671946435,1.041511933973977
1,uniform,ball_tree,gnoveltyp2,0.5895892892674601,0.9320509955372904
1,uniform,ball_tree,sattime,0.5154653600323524,1.0058327530723727
1,uniform,ball_tree,sattimep,0.5206332561664325,0.9719170658660401
1,uniform,ball_tree,clasp2,0.6290286187595189,0.8957210670505453
1,uniform,ball_tree,clasp1,0.6294858713063407,0.8834264962148344
1,uniform,ball_tree,picosat,0.6592149724707819,0.9984919707933537
1,uniform,ball_tree,mphaseSAT,0.753496986698739,0.7909668903237379
1,uniform,ball_tree,sapperlot,0.6347361938465601,0.9478072935193337
1,uniform,ball_tree,sol,0.6206092653213193,0.7831404321334646
1,uniform,kd_tree,ebglucose,0.5585059440111588,0.8318613186043629
1,uniform,kd_tree,ebminisat,0.5448813132965362,1.0925515044097431
1,uniform,kd_tree,glucose2,0.6254044631852224,0.7840348354943059
1,uniform,kd_tree,glueminisat,0.6310033154329785,0.9753320606414935
1,uniform,kd_tree,lingeling,0.5265232989019994,0.974654862833393
1,uniform,kd_tree,lrglshr,0.5780636750232382,1.0373463479922844
1,uniform,kd_tree,minisatpsm,0.5734410473682641,0.8823901128657701
1,uniform,kd_tree,mphaseSAT64,0.6121939872815372,0.9703211913471655
1,uniform,kd_tree,precosat,0.5933615738485949,0.996584649610683
1,uniform,kd_tree,qutersat,0.5825593333950643,0.8748443734943119
1,uniform,kd_tree,rcl,0.6328014695764272,0.8088458655314005
1,uniform,kd_tree,restartsat,0.6076518100445221,1.010821431840061
1,uniform,kd_tree,cryptominisat2011,0.6088630543545472,0.9544576335147716
1,uniform,kd_tree,spear-sw,0.635927548809663,0.9294361280051461
1,uniform,kd_tree,spear-hw,0.6965775323255935,0.8215757271468906
1,uniform,kd_tree,eagleup,0.7785438818565731,0.5983115913656422
1,uniform,kd_tree,sparrow,0.6740957489651447,0.8660920507625809
1,uniform,kd_tree,marchrw,0.8405060372793187,0.6023965843677873
1,uniform,kd_tree,mphaseSATm,0.7748075710148765,0.7579754727362643
1,uniform,kd_tree,satime11,0.47801843381033615,1.0346923264270242
1,uniform,kd_tree,tnm,0.5322822693431521,0.9503708441522903
1,uniform,kd_tree,mxc09,0.5533153671946435,1.041511933973977
1,uniform,kd_tree,gnoveltyp2,0.5895892892674601,0.9320509955372904
1,uniform,kd_tree,sattime,0.5154653600323524,1.0058327530723727
1,uniform,kd_tree,sattimep,0.5206332561664325,0.9719170658660401
1,uniform,kd_tree,clasp2,0.6290286187595189,0.8957210670505453
1,uniform,kd_tree,clasp1,0.6294858713063407,0.8834264962148344
1,uniform,kd_tree,picosat,0.6592149724707819,0.9984919707933537
1,uniform,kd_tree,mphaseSAT,0.753496986698739,0.7909668903237379
1,uniform,kd_tree,sapperlot,0.6347361938465601,0.9478072935193337
1,uniform,kd_tree,sol,0.6206092653213193,0.7831404321334646
1,uniform,brute,ebglucose,0.5579736158899327,0.832362672772768
1,uniform,brute,ebminisat,0.5447684222032156,1.0926869983917389
1,uniform,brute,glucose2,0.6249302435646895,0.7845309533980553
1,uniform,brute,glueminisat,0.6306444502021917,0.9758062216846559
1,uniform,brute,lingeling,0.5260125581863884,0.9751804026855506
1,uniform,brute,lrglshr,0.5780642964981122,1.0373455840323098
1,uniform,brute,minisatpsm,0.5731903517329195,0.8826493722902558
1,uniform,brute,mphaseSAT64,0.6121830704657599,0.9703348486175492
1,uniform,brute,precosat,0.5930736997118229,0.9969373464663048
1,uniform,brute,qutersat,0.5824877811046236,0.8749193475463659
1,uniform,brute,rcl,0.6322400657609658,0.8094639449729097
1,uniform,brute,restartsat,0.6076420643099913,1.0108339859137268
1,uniform,brute,cryptominisat2011,0.6072997140053653,0.956363173413694
1,uniform,brute,spear-sw,0.636066162587082,0.9292591784486195
1,uniform,brute,spear-hw,0.6965762771554779,0.821577426454529
1,uniform,brute,eagleup,0.7785438818565731,0.5983115913656422
1,uniform,brute,sparrow,0.6740957489651447,0.8660920507625809
