max_features,n_estimators,min_samples_split,solver name,r2 score,rmse score
auto,10,0.8,mphaseSAT64,-0.0013188671747976777,1.5591735070992336
auto,10,0.8,precosat,-0.0012006107821433964,1.5637615790075239
auto,10,0.8,qutersat,-0.004622797929637823,1.3571721531562653
auto,10,0.8,rcl,-0.006080937974953793,1.33884950693802
auto,10,0.8,restartsat,-0.0011755088059992591,1.6147069825423974
auto,10,0.8,cryptominisat2011,-0.004863540958329526,1.529839183526615
auto,10,0.8,spear-sw,-5.193914005641176e-05,1.540412092120471
auto,10,0.8,spear-hw,-0.0016160862253382646,1.492706339420672
auto,10,0.8,eagleup,-0.006051265222362989,1.275245004644406
auto,10,0.8,sparrow,-0.0008824929728334929,1.5177861526402103
auto,10,0.8,marchrw,-0.00018489722683567855,1.5085180904558078
auto,10,0.8,mphaseSATm,-0.002115379273775586,1.5989582476144735
auto,10,0.8,satime11,-0.0011699531368847271,1.4329714863507104
auto,10,0.8,tnm,-0.0004387329810782159,1.3899412254694479
auto,10,0.8,mxc09,-0.002225173486354315,1.5600783076865514
auto,10,0.8,gnoveltyp2,-0.00011986005143382883,1.454977767557754
auto,10,0.8,sattime,-0.00015560382200985323,1.4450974825004002
auto,10,0.8,sattimep,-4.1208906796041944e-05,1.403796662132897
auto,10,0.8,clasp2,-0.0054681678365990916,1.474642506151871
auto,10,0.8,clasp1,-0.0008007608864148974,1.4519171910653534
auto,10,0.8,picosat,-0.0018205076915631668,1.7119823498682003
auto,10,0.8,mphaseSAT,-0.002210053196071593,1.5948746883237652
auto,10,0.8,sapperlot,-0.0005983435586918162,1.568724271272664
auto,10,0.8,sol,-1.4593625382364195e-05,1.2714504945670264
auto,10,1.0,ebglucose,-8.371772266091426e-06,1.251959608490441
auto,10,1.0,ebminisat,-0.002843108461924704,1.621795469157123
auto,10,1.0,glucose2,-0.002876332576276397,1.282855531414953
auto,10,1.0,glueminisat,-0.001365896869601091,1.6067106289518815
auto,10,1.0,lingeling,-0.002222861509110441,1.418024387456393
auto,10,1.0,lrglshr,-7.055891774165879e-05,1.5970394548859894
auto,10,1.0,minisatpsm,-0.0016310492355100514,1.352150371583912
auto,10,1.0,mphaseSAT64,-7.130695073920279e-05,1.5582019039619825
auto,10,1.0,precosat,-0.001724565691494817,1.5641707045014146
auto,10,1.0,qutersat,-0.00834725542508985,1.3596855610733525
auto,10,1.0,rcl,-0.0034818010449733094,1.3371189783789095
auto,10,1.0,restartsat,-0.003646047809851005,1.6166980113896263
auto,10,1.0,cryptominisat2011,-0.004549495026450412,1.5296001076243795
auto,10,1.0,spear-sw,-0.0003519061715810956,1.5406430992211302
auto,10,1.0,spear-hw,-0.002147558913126346,1.49310231321269
auto,10,1.0,eagleup,-0.0049111236096677224,1.2745221925386307
auto,10,1.0,sparrow,-5.499705710843017e-07,1.5171172949581992
auto,10,1.0,marchrw,-0.0012292257697310571,1.5093054336203042
auto,10,1.0,mphaseSATm,-0.005634968712223021,1.6017636849974861
auto,10,1.0,satime11,-0.001461738388660594,1.433180286806814
auto,10,1.0,tnm,-0.0008103985188252505,1.390199384847906
auto,10,1.0,mxc09,-0.0012856952202788818,1.5593469334715202
auto,10,1.0,gnoveltyp2,-0.00013259443388990988,1.4549870305396815
auto,10,1.0,sattime,-5.148503176677366e-06,1.4449887840243416
auto,10,1.0,sattimep,-0.0002586833678086542,1.4039492925065495
auto,10,1.0,clasp2,-0.00220753995042422,1.4722495089708827
auto,10,1.0,clasp1,-0.0007460704411450525,1.4518775192916968
auto,10,1.0,picosat,-0.004274062454260763,1.7140774725666172
auto,10,1.0,mphaseSAT,-0.0032832156710771443,1.5957283525455221
auto,10,1.0,sapperlot,-0.00407858173719422,1.5714500378573681
auto,10,1.0,sol,-0.0004011689486083103,1.2716962229280746
auto,10,2,ebglucose,0.5717036033765177,0.8193334959075069
auto,10,2,ebminisat,0.6391052600100409,0.9729037150307355
auto,10,2,glucose2,0.5864563646693168,0.8237866137995318
auto,10,2,glueminisat,0.6599985102663756,0.9362281137665152
auto,10,2,lingeling,0.6146734675052445,0.8792573442918433
auto,10,2,lrglshr,0.574922085135689,1.0412010446551772
auto,10,2,minisatpsm,0.657635495096494,0.7905247448221703
auto,10,2,mphaseSAT64,0.5991928202008004,0.9864520812128962
auto,10,2,precosat,0.5963703481545619,0.9928908699699273
auto,10,2,qutersat,0.6360389842235215,0.8168848837180752
auto,10,2,rcl,0.645099849706423,0.7951853940086188
auto,10,2,restartsat,0.5921826768874534,1.0305556521430663
auto,10,2,cryptominisat2011,0.5606905964089826,1.0115270136660175
auto,10,2,spear-sw,0.6189797877561185,0.950822933704503
auto,10,2,spear-hw,0.6649089760433782,0.8633862523601085
auto,10,2,eagleup,0.7415276905667673,0.6463839837199465
auto,10,2,sparrow,0.6845471597999591,0.8520915545395112
auto,10,2,marchrw,0.7029295244426036,0.8221292921124292
auto,10,2,mphaseSATm,0.7191241132367585,0.846516617962424
auto,10,2,satime11,0.5970478538264727,0.9090973290295629
auto,10,2,tnm,0.6357482839142757,0.8386910156473674
auto,10,2,mxc09,0.6410790287276892,0.9336049847741886
auto,10,2,gnoveltyp2,0.6854814826070698,0.8159310143514917
auto,10,2,sattime,0.5767847455276357,0.9400349802245906
auto,10,2,sattimep,0.657606765669835,0.8214059500587275
auto,10,2,clasp2,0.7245148973370583,0.7718832993938453
auto,10,2,clasp1,0.6518428996128196,0.8563585977274785
auto,10,2,picosat,0.7028301831679407,0.9324094626728805
auto,10,2,mphaseSAT,0.7219798260291068,0.8400117162577491
auto,10,2,sapperlot,0.6060464840209674,0.9843265890781278
auto,10,2,sol,0.6468427103401837,0.7555798607241776
auto,10,5,ebglucose,0.5232198930674845,0.8644652957669401
auto,10,5,ebminisat,0.5378230272047984,1.1009909203213237
auto,10,5,glucose2,0.5622915202945615,0.8475133347580582
auto,10,5,glueminisat,0.5546192980288104,1.0715364924954778
auto,10,5,lingeling,0.49936227988116566,1.002220614564506
auto,10,5,lrglshr,0.5680055454097815,1.0496376744139022
auto,10,5,minisatpsm,0.6187356926928842,0.8342268765055412
auto,10,5,mphaseSAT64,0.6304096671008117,0.9472585822424209
auto,10,5,precosat,0.5963711708946775,0.992889858037873
auto,10,5,qutersat,0.5983772698878955,0.858109218235824
auto,10,5,rcl,0.5654917135614904,0.8798615396408401
auto,10,5,restartsat,0.5922395039896372,1.0304838485090633
auto,10,5,cryptominisat2011,0.6697420636940943,0.8770389214897983
auto,10,5,spear-sw,0.5644476298393573,1.0165899962021978
auto,10,5,spear-hw,0.6777681609624673,0.8466578839026728
auto,10,5,eagleup,0.6794862002574521,0.7197918776466575
auto,10,5,sparrow,0.6763369081060402,0.8631089680650047
